metric_name,metric_value,origin_index
frontier_per_origin_candidate_counts,2,11837
frontier_per_origin_candidate_counts,2,11838
frontier_per_origin_candidate_counts,2,11841
frontier_per_origin_candidate_counts,1,11847
frontier_per_origin_candidate_counts,2,11848
frontier_per_origin_candidate_counts,2,11856
frontier_per_origin_candidate_counts,2,11868
frontier_per_origin_candidate_counts,1,11874
frontier_per_origin_candidate_counts,2,11877
frontier_per_origin_candidate_counts,2,11883
frontier_per_origin_candidate_counts,2,11887
frontier_per_origin_candidate_counts,1,11888
frontier_per_origin_candidate_counts,2,11889
frontier_per_origin_candidate_counts,1,11892
frontier_per_origin_candidate_counts,1,119
frontier_per_origin_candidate_counts,1,11902
frontier_per_origin_candidate_counts,2,11904
frontier_per_origin_candidate_counts,2,11905
frontier_per_origin_candidate_counts,2,11908
frontier_per_origin_candidate_counts,2,11917
frontier_per_origin_candidate_counts,2,11918
frontier_per_origin_candidate_counts,2,11922
frontier_per_origin_candidate_counts,2,11925
frontier_per_origin_candidate_counts,1,11926
frontier_per_origin_candidate_counts,2,11936
frontier_per_origin_candidate_counts,2,11939
frontier_per_origin_candidate_counts,2,11940
frontier_per_origin_candidate_counts,1,11942
frontier_per_origin_candidate_counts,1,11949
frontier_per_origin_candidate_counts,2,11959
frontier_per_origin_candidate_counts,2,11962
frontier_per_origin_candidate_counts,2,11971
frontier_per_origin_candidate_counts,2,11972
frontier_per_origin_candidate_counts,1,11975
frontier_per_origin_candidate_counts,2,11983
frontier_per_origin_candidate_counts,1,1199
frontier_per_origin_candidate_counts,2,11996
frontier_per_origin_candidate_counts,2,12002
frontier_per_origin_candidate_counts,1,12005
frontier_per_origin_candidate_counts,2,12006
frontier_per_origin_candidate_counts,2,12011
frontier_per_origin_candidate_counts,3,12013
frontier_per_origin_candidate_counts,1,12014
frontier_per_origin_candidate_counts,1,12015
frontier_per_origin_candidate_counts,1,12016
frontier_per_origin_candidate_counts,2,12020
frontier_per_origin_candidate_counts,2,12023
frontier_per_origin_candidate_counts,1,12034
frontier_per_origin_candidate_counts,1,1204
frontier_per_origin_candidate_counts,2,12047
frontier_per_origin_candidate_counts,2,12049
frontier_per_origin_candidate_counts,1,1206
frontier_per_origin_candidate_counts,1,12064
frontier_per_origin_candidate_counts,1,12069
frontier_per_origin_candidate_counts,2,12105
frontier_per_origin_candidate_counts,1,12112
frontier_per_origin_candidate_counts,2,12114
frontier_per_origin_candidate_counts,2,12120
frontier_per_origin_candidate_counts,2,12125
frontier_per_origin_candidate_counts,1,12130
frontier_per_origin_candidate_counts,1,12133
frontier_per_origin_candidate_counts,2,12134
frontier_per_origin_candidate_counts,3,12136
frontier_per_origin_candidate_counts,1,1214
frontier_per_origin_candidate_counts,1,12143
frontier_per_origin_candidate_counts,2,1215
frontier_per_origin_candidate_counts,2,12151
frontier_per_origin_candidate_counts,1,12158
frontier_per_origin_candidate_counts,2,1216
frontier_per_origin_candidate_counts,3,12163
frontier_per_origin_candidate_counts,1,12164
frontier_per_origin_candidate_counts,1,12168
frontier_per_origin_candidate_counts,2,12169
frontier_per_origin_candidate_counts,1,12175
frontier_per_origin_candidate_counts,2,12181
frontier_per_origin_candidate_counts,2,12186
frontier_per_origin_candidate_counts,1,12188
frontier_per_origin_candidate_counts,2,12189
frontier_per_origin_candidate_counts,1,12193
frontier_per_origin_candidate_counts,2,12194
frontier_per_origin_candidate_counts,2,12195
frontier_per_origin_candidate_counts,1,12199
frontier_per_origin_candidate_counts,1,12201
frontier_per_origin_candidate_counts,1,12208
frontier_per_origin_candidate_counts,2,12214
frontier_per_origin_candidate_counts,2,12221
frontier_per_origin_candidate_counts,2,12222
frontier_per_origin_candidate_counts,2,12230
frontier_per_origin_candidate_counts,1,12232
frontier_per_origin_candidate_counts,2,12243
frontier_per_origin_candidate_counts,2,12247
frontier_per_origin_candidate_counts,1,12248
frontier_per_origin_candidate_counts,2,12250
frontier_per_origin_candidate_counts,1,12260
frontier_per_origin_candidate_counts,2,12269
frontier_per_origin_candidate_counts,1,12270
frontier_per_origin_candidate_counts,1,12273
frontier_per_origin_candidate_counts,2,12274
frontier_per_origin_candidate_counts,2,12278
frontier_per_origin_candidate_counts,1,12280
frontier_per_origin_candidate_counts,1,12287
frontier_per_origin_candidate_counts,1,12294
frontier_per_origin_candidate_counts,2,12298
frontier_per_origin_candidate_counts,2,12299
frontier_per_origin_candidate_counts,1,12313
frontier_per_origin_candidate_counts,2,12314
frontier_per_origin_candidate_counts,1,1232
frontier_per_origin_candidate_counts,1,12322
frontier_per_origin_candidate_counts,1,12332
frontier_per_origin_candidate_counts,2,12336
frontier_per_origin_candidate_counts,1,12337
frontier_per_origin_candidate_counts,1,12340
frontier_per_origin_candidate_counts,2,12348
frontier_per_origin_candidate_counts,1,12349
frontier_per_origin_candidate_counts,1,12351
frontier_per_origin_candidate_counts,2,12353
frontier_per_origin_candidate_counts,2,1236
frontier_per_origin_candidate_counts,2,12366
frontier_per_origin_candidate_counts,2,12374
frontier_per_origin_candidate_counts,2,12375
frontier_per_origin_candidate_counts,1,12378
frontier_per_origin_candidate_counts,2,1238
frontier_per_origin_candidate_counts,1,12387
frontier_per_origin_candidate_counts,1,12388
frontier_per_origin_candidate_counts,1,12389
frontier_per_origin_candidate_counts,1,12393
frontier_per_origin_candidate_counts,2,12396
frontier_per_origin_candidate_counts,2,12398
frontier_per_origin_candidate_counts,2,12399
frontier_per_origin_candidate_counts,2,12401
frontier_per_origin_candidate_counts,1,12402
frontier_per_origin_candidate_counts,2,12403
frontier_per_origin_candidate_counts,2,12404
frontier_per_origin_candidate_counts,2,12409
frontier_per_origin_candidate_counts,1,12422
frontier_per_origin_candidate_counts,1,12425
frontier_per_origin_candidate_counts,2,12428
frontier_per_origin_candidate_counts,2,12434
frontier_per_origin_candidate_counts,1,12448
frontier_per_origin_candidate_counts,2,12452
frontier_per_origin_candidate_counts,2,12462
frontier_per_origin_candidate_counts,1,12469
frontier_per_origin_candidate_counts,1,1247
frontier_per_origin_candidate_counts,1,12471
frontier_per_origin_candidate_counts,1,12472
frontier_per_origin_candidate_counts,1,12478
frontier_per_origin_candidate_counts,1,12479
frontier_per_origin_candidate_counts,2,12483
frontier_per_origin_candidate_counts,2,12485
frontier_per_origin_candidate_counts,1,12488
frontier_per_origin_candidate_counts,1,125
frontier_per_origin_candidate_counts,1,12504
frontier_per_origin_candidate_counts,1,12509
frontier_per_origin_candidate_counts,2,12514
frontier_per_origin_candidate_counts,2,12522
frontier_per_origin_candidate_counts,1,12526
frontier_per_origin_candidate_counts,2,12528
frontier_per_origin_candidate_counts,2,12532
frontier_per_origin_candidate_counts,2,12536
frontier_per_origin_candidate_counts,1,12539
frontier_per_origin_candidate_counts,1,12545
frontier_per_origin_candidate_counts,2,12547
frontier_per_origin_candidate_counts,2,12549
frontier_per_origin_candidate_counts,1,12554
frontier_per_origin_candidate_counts,2,12558
frontier_per_origin_candidate_counts,1,12561
frontier_per_origin_candidate_counts,2,12564
frontier_per_origin_candidate_counts,2,12573
frontier_per_origin_candidate_counts,2,12578
frontier_per_origin_candidate_counts,1,12579
frontier_per_origin_candidate_counts,2,12583
frontier_per_origin_candidate_counts,1,12588
frontier_per_origin_candidate_counts,2,12589
frontier_per_origin_candidate_counts,1,12595
frontier_per_origin_candidate_counts,1,12607
frontier_per_origin_candidate_counts,3,12611
frontier_per_origin_candidate_counts,2,12612
frontier_per_origin_candidate_counts,2,12613
frontier_per_origin_candidate_counts,2,12615
frontier_per_origin_candidate_counts,2,12616
frontier_per_origin_candidate_counts,2,12626
frontier_per_origin_candidate_counts,1,12627
frontier_per_origin_candidate_counts,1,12629
frontier_per_origin_candidate_counts,2,12639
frontier_per_origin_candidate_counts,2,12642
frontier_per_origin_candidate_counts,1,12643
frontier_per_origin_candidate_counts,2,12644
frontier_per_origin_candidate_counts,1,12647
frontier_per_origin_candidate_counts,1,12655
frontier_per_origin_candidate_counts,2,12660
frontier_per_origin_candidate_counts,2,1267
frontier_per_origin_candidate_counts,2,12670
frontier_per_origin_candidate_counts,1,12671
frontier_per_origin_candidate_counts,1,12676
frontier_per_origin_candidate_counts,2,12680
frontier_per_origin_candidate_counts,1,12681
frontier_per_origin_candidate_counts,2,12686
frontier_per_origin_candidate_counts,2,12689
frontier_per_origin_candidate_counts,2,12691
frontier_per_origin_candidate_counts,1,12692
frontier_per_origin_candidate_counts,1,12694
frontier_per_origin_candidate_counts,2,12701
frontier_per_origin_candidate_counts,1,12715
frontier_per_origin_candidate_counts,2,12716
frontier_per_origin_candidate_counts,2,12718
frontier_per_origin_candidate_counts,2,12720
frontier_per_origin_candidate_counts,1,12721
frontier_per_origin_candidate_counts,1,12726
frontier_per_origin_candidate_counts,1,12729
frontier_per_origin_candidate_counts,1,12731
frontier_per_origin_candidate_counts,2,12733
frontier_per_origin_candidate_counts,1,12742
frontier_per_origin_candidate_counts,1,12755
frontier_per_origin_candidate_counts,2,12759
frontier_per_origin_candidate_counts,1,1276
frontier_per_origin_candidate_counts,2,12761
frontier_per_origin_candidate_counts,1,12762
frontier_per_origin_candidate_counts,1,12766
frontier_per_origin_candidate_counts,2,12768
frontier_per_origin_candidate_counts,2,12773
frontier_per_origin_candidate_counts,1,12777
frontier_per_origin_candidate_counts,2,12781
frontier_per_origin_candidate_counts,1,12782
frontier_per_origin_candidate_counts,2,12793
frontier_per_origin_candidate_counts,2,12794
frontier_per_origin_candidate_counts,2,12797
frontier_per_origin_candidate_counts,2,12807
frontier_per_origin_candidate_counts,1,1281
frontier_per_origin_candidate_counts,2,12812
frontier_per_origin_candidate_counts,1,12817
frontier_per_origin_candidate_counts,2,12829
frontier_per_origin_candidate_counts,2,12830
frontier_per_origin_candidate_counts,1,12835
frontier_per_origin_candidate_counts,1,12837
frontier_per_origin_candidate_counts,1,12843
frontier_per_origin_candidate_counts,1,12845
frontier_per_origin_candidate_counts,1,12848
frontier_per_origin_candidate_counts,1,12854
frontier_per_origin_candidate_counts,2,12857
frontier_per_origin_candidate_counts,2,12859
frontier_per_origin_candidate_counts,2,12867
frontier_per_origin_candidate_counts,1,12871
frontier_per_origin_candidate_counts,1,12872
frontier_per_origin_candidate_counts,2,12875
frontier_per_origin_candidate_counts,2,12876
frontier_per_origin_candidate_counts,1,12890
frontier_per_origin_candidate_counts,1,12892
frontier_per_origin_candidate_counts,1,12895
frontier_per_origin_candidate_counts,2,12900
frontier_per_origin_candidate_counts,2,12904
frontier_per_origin_candidate_counts,3,12906
frontier_per_origin_candidate_counts,2,1291
frontier_per_origin_candidate_counts,2,12919
